50.00,0.50,140.00
50.00,0.50,160.00
50.00,0.50,180.00
50.00,1.00,140.00
50.00,1.00,160.00
50.00,1.00,180.00
50.00,1.50,140.00
50.00,1.50,160.00
50.00,1.50,180.00
70.00,0.50,140.00
70.00,0.50,160.00
70.00,0.50,180.00
70.00,1.00,140.00
70.00,1.00,160.00
70.00,1.00,180.00
70.00,1.50,140.00
70.00,1.50,160.00
70.00,1.50,180.00
90.00,0.50,140.00
90.00,0.50,160.00
90.00,0.50,180.00
90.00,1.00,140.00
90.00,1.00,160.00
90.00,1.00,180.00
90.00,1.50,140.00
90.00,1.50,160.00
90.00,1.50,180.00
50.00,1.50,150.00
60.00,1.50,180.00
80.00,1.25,170.00
